CreditScore,Credit_Age_ratio,Gender,Age,Tenure,Tenure_Age_ratio,Balance,Bal_is_zero,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Balance_Salary_ratio,France,Germany,Spain,Exited
619,14.738095238095237,1,42,2,0.047619047619047616,0.0,1,1,1,1,101348.88,0.0,1.0,0.0,0.0,1
608,14.829268292682928,1,41,1,0.024390243902439025,83807.86,0,1,0,1,112542.58,0.7446769036217226,0.0,0.0,1.0,0
502,11.952380952380953,1,42,8,0.19047619047619047,159660.8,0,3,1,0,113931.57,1.4013745268322026,1.0,0.0,0.0,1
699,17.923076923076923,1,39,1,0.02564102564102564,0.0,1,2,0,0,93826.63,0.0,1.0,0.0,0.0,0
850,19.767441860465116,1,43,2,0.046511627906976744,125510.82,0,1,1,1,79084.1,1.5870550464631954,0.0,0.0,1.0,0
645,14.659090909090908,0,44,8,0.18181818181818182,113755.78,0,2,1,0,149756.71,0.7596038935417319,0.0,0.0,1.0,1
822,16.44,0,50,7,0.14,0.0,1,2,1,1,10062.8,0.0,1.0,0.0,0.0,0
376,12.96551724137931,1,29,4,0.13793103448275862,115046.74,0,4,1,0,119346.88,0.9639693974404694,0.0,1.0,0.0,1
501,11.386363636363637,0,44,4,0.09090909090909091,142051.07,0,2,0,1,74940.5,1.8955180443151567,1.0,0.0,0.0,0
684,25.333333333333332,0,27,2,0.07407407407407407,134603.88,0,1,1,1,71725.73,1.876647055387237,1.0,0.0,0.0,0
528,17.032258064516128,0,31,6,0.1935483870967742,102016.72,0,2,0,0,80181.12,1.2723284483928388,1.0,0.0,0.0,0
497,20.708333333333332,0,24,3,0.125,0.0,1,2,1,0,76390.01,0.0,0.0,0.0,1.0,0
476,14.0,1,34,10,0.29411764705882354,0.0,1,2,1,0,26260.98,0.0,1.0,0.0,0.0,0
549,21.96,1,25,5,0.2,0.0,1,2,0,0,190857.79,0.0,1.0,0.0,0.0,0
635,18.142857142857142,1,35,7,0.2,0.0,1,2,1,1,65951.65,0.0,0.0,0.0,1.0,0
616,13.688888888888888,0,45,3,0.06666666666666667,143129.41,0,2,0,1,64327.26,2.2250195329320728,0.0,1.0,0.0,0
653,11.258620689655173,0,58,1,0.017241379310344827,132602.88,0,1,1,0,5097.67,26.01244882465911,0.0,1.0,0.0,1
549,22.875,1,24,9,0.375,0.0,1,2,1,1,14406.41,0.0,0.0,0.0,1.0,0
587,13.044444444444444,0,45,6,0.13333333333333333,0.0,1,1,0,0,158684.81,0.0,0.0,0.0,1.0,0
726,30.25,1,24,6,0.25,0.0,1,2,1,1,54724.03,0.0,1.0,0.0,0.0,0
732,17.853658536585368,0,41,8,0.1951219512195122,0.0,1,2,1,1,170886.17,0.0,1.0,0.0,0.0,0
636,19.875,1,32,8,0.25,0.0,1,2,1,0,138555.46,0.0,0.0,0.0,1.0,0
510,13.421052631578947,1,38,4,0.10526315789473684,0.0,1,1,1,0,118913.53,0.0,0.0,0.0,1.0,1
669,14.543478260869565,0,46,3,0.06521739130434782,0.0,1,2,0,1,8487.75,0.0,1.0,0.0,0.0,0
846,22.263157894736842,1,38,5,0.13157894736842105,0.0,1,1,1,1,187616.16,0.0,1.0,0.0,0.0,0
577,23.08,0,25,3,0.12,0.0,1,2,0,1,124508.29,0.0,1.0,0.0,0.0,0
756,21.0,0,36,2,0.05555555555555555,136815.64,0,1,1,1,170041.95,0.8045993356345302,0.0,1.0,0.0,0
571,12.977272727272727,0,44,9,0.20454545454545456,0.0,1,2,0,0,38433.35,0.0,1.0,0.0,0.0,0
574,13.348837209302326,1,43,3,0.06976744186046512,141349.43,0,1,1,1,100187.43,1.4108499439500544,0.0,1.0,0.0,0
411,14.172413793103448,0,29,0,0.0,59697.17,0,2,1,1,53483.21,1.1161852476693153,1.0,0.0,0.0,0
591,15.153846153846153,1,39,3,0.07692307692307693,0.0,1,3,1,0,140469.38,0.0,0.0,0.0,1.0,1
533,14.805555555555555,0,36,7,0.19444444444444445,85311.7,0,1,0,1,156731.91,0.5443160872600863,1.0,0.0,0.0,0
553,13.487804878048781,0,41,9,0.21951219512195122,110112.54,0,2,0,0,81898.81,1.344494993272796,0.0,1.0,0.0,0
520,12.380952380952381,1,42,6,0.14285714285714285,0.0,1,2,1,1,34410.55,0.0,0.0,0.0,1.0,0
722,24.896551724137932,1,29,9,0.3103448275862069,0.0,1,2,1,1,142033.07,0.0,0.0,0.0,1.0,0
475,10.555555555555555,1,45,0,0.0,134264.04,0,1,1,0,27822.99,4.825651017378075,1.0,0.0,0.0,1
